2, Matrix => Vector, Factor, Value, 247
2, Term => Term:STAR:Exp, Exp, Expr, 6
2, Term => Term:STAR:Exp, Term, Exp, 2
2, Term => Term:STAR:Exp, None, Expr, 24
2, Term => Term:STAR:Exp, Term, Term, 17
2, Term => Term:STAR:Exp, Value, Expr, 3
2, Term => Term:STAR:Exp, Value, Term, 1
2, Term => Term:STAR:Exp, PostUnary, Factor, 8
2, Term => Term:STAR:Exp, Matrix, Vector, 1
2, PostUnary => Factor, Term, Unary, 13
2, PostUnary => Factor, Term, Expr, 1
2, PostUnary => Factor, Factor, Unary, 11
2, PostUnary => Factor, Value, Unary, 7
2, PostUnary => Factor, Value, Log, 2
2, PostUnary => Factor, Log, Unary, 1
2, PostUnary => Factor, Expr, Term, 7
2, PostUnary => Factor, Exp, Unary, 4665
2, PostUnary => Factor, Factor, Value, 3
2, PostUnary => Factor, Expr, Expr, 3
2, PostUnary => Factor, Vector, Unary, 4
2, PostUnary => Factor, Expr, Unary, 7
2, PostUnary => Factor, Term, Exp, 2
2, PostUnary => Factor, None, Expr, 1
2, PostUnary => Factor, Term, Term, 2
2, PostUnary => Factor, Vector, Expr, 2
2, PostUnary => Factor, Factor, Expr, 1
2, PostUnary => Factor, PostUnary, Factor, 2
2, PostUnary => Factor, None, None, 3
2, PostUnary => Factor, Vector, Vector, 1
2, Term => Term:SLASH:Exp, Vector, Term, 3
2, Term => Term:SLASH:Exp, Vector, Expr, 91
2, Term => Term:SLASH:Exp, Term, Expr, 35
2, Term => Term:SLASH:Exp, Log, Expr, 9
2, Term => Term:SLASH:Exp, Expr, Term, 102
2, Term => Term:SLASH:Exp, Exp, Exp, 1
2, Term => Term:SLASH:Exp, Expr, Exp, 1
2, Term => Term:SLASH:Exp, Expr, Expr, 141
2, Term => Term:SLASH:Exp, Factor, Term, 5
2, Term => Term:SLASH:Exp, Factor, Expr, 65
2, Term => Term:SLASH:Exp, Exp, Vector, 1
2, Term => Term:SLASH:Exp, Value, Vector, 1
2, Term => Term:SLASH:Exp, Exp, Expr, 12
2, Term => Term:SLASH:Exp, Exp, Term, 1
2, Term => Term:SLASH:Exp, Term, Exp, 5
2, Term => Term:SLASH:Exp, None, Expr, 47
2, Term => Term:SLASH:Exp, Term, Term, 29
2, Term => Term:SLASH:Exp, Factor, Value, 3
2, Term => Term:SLASH:Exp, Value, Expr, 8
2, Term => Term:SLASH:Exp, Matrix, Vector, 2
2, Term => Term:SLASH:Exp, PostUnary, Factor, 15
2, Factor => Value, Expr, PostUnary, 6
2, Factor => Value, None, PostUnary, 3
2, Factor => Value, Vector, PostUnary, 1
2, Factor => Value, Exp, PostUnary, 2
2, Factor => Value, Log, PostUnary, 2
2, Factor => Value, Factor, PostUnary, 2
2, Factor => Value, Value, PostUnary, 3
2, Factor => Value, Unary, PostUnary, 4225
2, Factor => Value, Term, PostUnary, 9
2, Value => Log, PostUnary, Factor, 32
2, Atom => NUMBER, Factor, Value, 3693
2, Expr => Expr:DASH:Term, Vector, Vector, 74
2, Expr => Expr:DASH:Term, Factor, Value, 13
2, Expr => Expr:DASH:Term, Exp, Expr, 5
2, Expr => Expr:DASH:Term, Term, Exp, 13
2, Expr => Expr:DASH:Term, Value, Expr, 6
2, Expr => Expr:DASH:Term, Exp, Term, 2
2, Expr => Expr:DASH:Term, Term, Expr, 21
2, Expr => Expr:DASH:Term, Factor, Expr, 29
2, Expr => Expr:DASH:Term, Term, Term, 12
2, Expr => Expr:DASH:Term, Log, Expr, 1
2, Expr => Expr:DASH:Term, Value, Vector, 16
2, Expr => Expr:DASH:Term, Factor, Exp, 2
2, Expr => Expr:DASH:Term, Matrix, Vector, 21
2, Expr => Expr:DASH:Term, Vector, Expr, 51
2, Expr => Expr:DASH:Term, Value, Log, 6
2, Expr => Expr:DASH:Term, Exp, Exp, 3
2, Expr => Expr:DASH:Term, Expr, Term, 44
2, Expr => Expr:DASH:Term, Expr, Expr, 59
2, Expr => Expr:DASH:Term, None, Expr, 20
2, Expr => Expr:DASH:Term, Expr, Vector, 1
2, Expr => Expr:DASH:Term, PostUnary, Factor, 122
2, Expr => Expr:DASH:Term, None, None, 63
2, Value => Atom, PostUnary, Factor, 3693
2, Value => LANGLE:Vector:RANGLE, PostUnary, Factor, 276
2, Matrix => Matrix:SEMI:Vector, Factor, Value, 5
2, Unary => DASH:PostUnary, Log, Exp, 1
2, Unary => DASH:PostUnary, Factor, Exp, 1
2, Unary => DASH:PostUnary, Term, Exp, 26
2, Unary => DASH:PostUnary, Expr, Exp, 1
2, Unary => DASH:PostUnary, Value, Exp, 1

